country,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
MIC,5457879432.5,4565.92744572991,71.3110093683544,76.2212524414062,5.95785948844532,
NAC,356506956.0,55702.089462785,79.0036487303218,98.8826217651367,5.46118094681104,
OED,1331189869.0,35784.8705175556,79.7910326962093,105.431053161621,6.85865110620312,
OSS,13091061.0,11735.6880833152,72.2869321613143,67.7812805175781,8.78523372997352,
PSS,2445989.0,3710.01234754574,68.5661417705734,72.2568664550781,3.38209145071285,
PST,1097599410.0,40778.3409479148,80.3769874715474,105.688636779785,6.88732464298699,
PRE,870587800.0,1501.73812551821,59.0688613027692,41.5208015441895,4.93719170079883,
SST,18501574.0,10690.6175098911,71.7298652594865,71.1818008422852,8.57328851446373,
SAS,1788492725.0,1528.46685971348,69.1324736517293,67.7523727416992,6.90755040475197,
TSA,1788492725.0,1528.46685971348,69.1324736517293,67.7523727416992,6.90755040475197,
SSF,1025251114.0,1628.91285742916,59.5234252115263,43.5101890563965,5.85502520009926,
SSA,1025157695.0,1627.66404278518,59.5220791189745,43.5073013305664,5.85502520009926,
TSS,1025251114.0,1628.91285742916,59.5234252115263,43.5101890563965,5.85502520009926,
WLD,7441471720.5,10142.1434788123,72.0470869141673,75.7204971313477,6.00655926883703,
AFG,33831764.0,565.569730408751,62.659,53.2851409912109,9.052,
ALB,2880703.0,3952.80357364813,78.644,102.440727233887,17.193,32.8
DZA,40019529.0,4685.05902729002,75.622,,11.206,
ASM,52878.0,12727.4102651386,,,,
AND,72174.0,38654.9347203095,,92.5457992553711,,
AGO,28157798.0,3213.90261080059,60.655,,16.49,
ATG,89409.0,16080.6580495873,77.913,117.027770996094,,
ARG,43477012.0,13679.6264980954,76.76,107.549072265625,7.579,
ARM,3004600.0,3512.39350276709,74.436,85.793701171875,18.261,32.4
ABW,107906.0,27458.2253310273,75.683,,,
AUS,23815995.0,56739.0265346593,82.4,159.110763549805,6.055,
AUT,8642699.0,43915.228020857,81.190243902439,101.411582946777,5.802,30.5
AZE,9649341.0,5500.50364628486,71.451,84.8098586425184,4.96,
BHS,385346.0,30289.4022514831,73.104,,12.0,
BHR,1370322.0,23734.0551143019,79.405,100.813453674316,1.16,
BGD,159383179.0,1224.38647668165,70.491,62.0312309265137,4.396,
BRB,278990.0,18954.2913724506,76.65,108.281532287598,9.803,
BLR,9461076.0,5967.06856034227,73.6243902439025,97.5203323364258,5.881,25.6
BEL,11274196.0,40893.804537772,80.9926829268293,164.079818725586,8.482,27.7
BLZ,356333.0,6154.49593498217,73.187,80.9736709594727,7.578,
BEN,11360681.0,1002.41886882564,59.377,57.3949584960938,1.82,47.6
BMU,63464.0,104855.366822135,80.918,90.5220718383789,,
BTN,740618.0,2954.04081973327,70.343,85.1941909790039,2.45,
BOL,11014705.0,2996.01289804214,67.318,91.7968215942383,3.111,46.7
BIH,3518541.0,4662.25883724069,76.182,83.0699996948242,27.695,
BWA,2203273.0,6141.20394726616,63.818,,18.93,53.3
BRA,201675532.0,8936.19661756825,74.332,100.920516967773,8.538,51.9
VGB,34498.0,,75.675,99.1682968139648,,
BRN,422212.0,30625.128732694,74.75,96.3360900878906,7.726,
BGR,7177991.0,7078.86032298969,74.6146341463415,103.889343261719,9.143,38.6
BFA,18777487.0,630.124750752312,58.845,33.0902481079102,4.461,
BDI,11047580.0,280.966831311923,60.217,45.2864799499512,1.442,
CPV,512394.0,3415.06266730931,74.62,87.5373077392578,11.907,42.4
KHM,15623251.0,1547.32010444393,69.873,,0.393,
CMR,22763414.0,1415.00009710569,59.658,59.5547103881836,3.518,
CAN,35704498.0,43594.1941045394,81.8156097560976,111.930450439453,6.945,33.7
CYM,61642.0,76379.2095108681,,97.2377158034529,,
CAF,4629320.0,366.322853938121,52.793,,5.477,
TCD,14647621.0,747.588448455507,51.589,23.0286598205566,0.974,
CHI,163454.0,61852.0736534587,81.433,,8.178,
CHL,18047625.0,13433.9202985339,79.746,100.921676635742,6.313,45.3
CHN,1379860000.0,8016.44559489998,76.977,,4.65,38.6
COL,46969940.0,6248.51490534512,76.257,97.6741180419922,8.572,51.0
COM,726682.0,1329.37048235986,62.896,,4.121,
COD,81035531.0,467.9145805459,58.49,43.8240394592285,4.439,
COG,5097581.0,2439.35189403696,63.233,,19.978,
CRI,4818038.0,11714.7105980732,79.086,117.916282653809,8.415,48.4
CIV,25246342.0,1814.71855088017,57.762,41.6637382507324,2.579,41.5
HRV,4151725.0,12285.3032582105,77.2756097560976,102.981330871582,16.175,31.1
CUB,11275065.0,7727.91997207998,77.772,96.2741470336914,2.4,
CUW,157980.0,19361.8130008678,78.0756097560976,,,
CYP,1219502.0,23487.228515625,80.966,99.7783126831055,15.026,34.0
CZE,10546059.0,17931.5987670768,78.5780487804878,104.810516357422,5.048,25.9
DNK,5683483.0,53094.0133607574,80.7024390243902,133.795471191406,6.278,28.2
DJI,1020313.0,2376.12554719873,61.957,,26.07,
DMA,70410.0,7679.83293618857,68.727,93.761589050293,,
DOM,10434829.0,6819.93225155181,72.953,79.9378890991211,7.605,45.2
ECU,16266225.0,5976.1596805651,76.789,100.791786193848,3.616,46.0
EGY,99597342.0,3306.98159414141,70.483,,13.052,31.8
SLV,6183676.0,3790.34089108162,71.814,70.6981887817383,3.998,40.6
GNQ,1453923.0,9068.91003238645,60.103,,7.95,
ERI,3105546.0,,66.033,43.2833213806152,5.541,
EST,1315407.0,17722.1557669523,77.590243902439,108.18879699707,6.412,32.7
SWZ,1142813.0,3393.53367834668,55.019,79.5160675048828,23.285,
ETH,103867135.0,621.845673808133,63.649,34.8671396485425,2.443,35.0
FRO,48901.0,52635.0375463609,81.7926829268293,,,
FJI,918578.0,5097.53108832569,66.844,87.7612437924439,4.291,
FIN,5479531.0,42560.3456767103,81.4804878048781,150.819213867188,9.376,27.1
FRA,66548272.0,36702.4323733379,82.3219512195122,103.396041870117,10.354,32.7
PYF,277866.0,19166.9594761931,82.354,,11.789,
GAB,2040989.0,7047.12654634355,65.46,,19.978,
GMB,2224529.0,619.536364296461,62.494,,7.26,35.9
GEO,3725276.0,4086.6223465965,73.297,106.208358764648,16.506,36.5
DEU,81686611.0,41911.0109851054,80.6414634146341,102.192413330078,4.612,31.7
GHA,28696068.0,1721.69964380717,63.175,67.0825874412868,6.806,
GIB,33193.0,,80.427,,,
GRC,10820883.0,17980.7298238137,81.0365853658537,103.377700805664,24.981,36.0
GRL,56114.0,44536.3549705377,71.4790243902439,,,
GRD,114676.0,8694.12438005692,75.013,101.162788391113,,
GUM,164905.0,35165.7014644795,76.616,,6.9,
GTM,15971743.0,3893.50521848131,72.103,54.9180488586426,2.506,
GIN,11767070.0,747.356966759448,58.134,35.6580644885684,5.224,
GNB,1786457.0,645.066837207039,59.128,,3.157,
GUY,758781.0,5640.41560569466,68.201,,13.004,
HTI,10523242.0,1411.12684746796,63.237,,13.724,
HND,9237305.0,2271.20265980349,72.487,50.0197715759277,6.147,49.2
HKG,7291300.0,42432.1619740441,84.2526829268293,107.431686401367,3.314,
HUN,9843028.0,12717.038597002,75.5682926829269,104.546478271484,6.813,30.4
ISL,330815.0,52951.6815110898,82.4682926829268,119.807357788086,3.979,26.8
IND,1328024498.0,1583.99815907985,69.636,74.9483337402344,7.631,34.7
IDN,261799249.0,3288.22269737572,69.699,88.7822877060453,4.514,38.2
IRN,82619362.0,4952.73355532178,75.124,88.1429824829102,11.166,35.3
IRQ,37560535.0,4440.14189252367,69.44,,10.842,
IRL,4701957.0,64311.8234684057,81.4536585365854,116.989868164062,9.908,31.8
IMN,83593.0,84753.5187422732,78.905,,,
ISR,8380100.0,36123.9907881129,82.0512195121951,96.3389511108398,5.176,39.7
ITA,60730582.0,30387.1293187854,82.5439024390244,101.228088378906,11.896,35.4
JAM,2802534.0,5062.89556466908,72.394,87.4978103637695,8.825,
JPN,127141000.0,34960.6393843385,83.7939024390244,102.200416564941,3.385,
JOR,9544729.0,4042.75678097555,75.011,,13.075,
KAZ,18084169.0,10196.1226255982,71.97,102.357932207316,4.93,26.8
KEN,47088526.0,1489.11959777284,61.892,,2.762,40.8
KIR,116815.0,1639.85274301496,66.059,,,
PRK,25575350.0,,72.784,95.9569625854492,2.896,
KOR,51014947.0,28737.4391706499,82.0243902439024,98.5931930541992,3.546,
XKX,1788274.0,3520.62850699375,78.922,,,26.5
KWT,3834574.0,29882.2126867068,79.562,95.2544174194336,2.2,
