country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SL.UEM.TOTL.ZS,SE.SEC.ENRR,SI.POV.GINI
GHA,2023,33787914,2260.28741289427,3.063,,
GIB,2023,38471,,,92.4276962280273,
GRC,2023,10405588,23400.7278817691,11.066,,
GRL,2023,56865,,,,
GRD,2023,117081,11246.3451228921,,,
GUM,2023,166506,,5.363,,
GTM,2023,18124838,5762.82174615918,2.344,47.6308784484863,
GIN,2023,14405468,1541.04050914957,5.244,,
GNB,2023,2153339,951.242748289294,2.65,,
GUY,2023,826353,20765.3503593109,12.025,85.3713302612305,
HTI,2023,11637398,1705.77905452248,14.556,,
HND,2023,10644851,3231.65724461936,6.07,55.1028709411621,
HKG,2023,7536100,50531.7385421945,2.949,,
HUN,2023,9592186,22141.8669799276,4.107,,
ISL,2023,393349,79636.9548578508,3.518,,
IND,2023,1438069596,2480.79208721621,4.172,78.863958593161,
IDN,2023,281190067,4876.31432703188,3.308,97.1654711118149,36.1
IRN,2023,90608707,4465.63766994952,9.041,,
IRQ,2023,45074049,5565.12644647176,15.447,,
IRL,2023,5307600,103887.800388081,4.288,,
IMN,2023,84165,,,,
ISR,2023,9756600,52642.4267486308,3.596,,
ITA,2023,58993475,39003.3160954123,7.627,,
JAM,2023,2839786,6839.72503886968,4.4,86.4048004150391,
JPN,2023,124516650,33766.5268253808,2.6,,
JOR,2023,11439213,4455.50540514568,17.969,91.9696807861328,
KAZ,2023,20330104,12918.8661346014,4.821,97.1888259892982,
KEN,2023,55339003,1952.30457929636,5.567,,
KIR,2023,132530,2106.76000405677,,93.2427215576172,
PRK,2023,26418204,,2.831,,
KOR,2023,51712619,33121.3712885508,2.675,,
XKX,2023,1756366,5960.15820477447,,,
KWT,2023,4853420,33729.7985494456,2.127,,
KGZ,2023,7099750,1970.15780961839,3.991,93.465834530678,
LAO,2023,7664993,2066.94979776957,1.188,54.502009299061,
