country,co2,ch4,n2o,co2e_100yr,co2e_20yr
MLI,61145337.337949835,2015996.5583352663,83327.16692876101,140927485.49976006,249835237.31702808
MOZ,50811189.88536195,913296.1833765323,18195.63826407481,82255314.34583172,131649748.93696412
MAR,147767152.51352423,1981250.5120731248,57975.917790930005,221575660.9791568,332135591.2306185
MKD,16311635.039339282,201365.5490430593,3962.706764965924,24607033.722312115,38087540.93166805
MCO,397736.73741899634,104.42938281057866,33.08340028904495,409783.53857038013,415325.9208955932
MNP,1164895.6106954233,249.8872798456954,25.913262735805056,1178881.5091176266,1192238.5446090898
MNG,111192441.5636562,2456994.5837534685,90823.50152109015,204378542.4922954,335411558.76146346
MEX,1082358241.5268328,16587709.256948777,814578.0457954931,1811508467.8186805,2746603281.624233
NRU,109219.16425693822,232.80594173785602,5.839692848710643,117224.41266521557,129671.51611405228
NLD,381800293.82495826,1371350.3508533747,74571.49339340837,481310690.5696871,551882301.1194558
PHL,373426252.2428804,4301516.480089156,91041.75091544882,531415392.1497506,776166014.2539226
OMN,266032053.0870454,2495929.395357698,7375.816109118647,340764448.9821565,476744253.2382928
MYS,646690531.3333728,3556500.8764636167,67525.23892060558,770066402.2648585,962770353.1475058
MYT,1280367.578791863,807.1699120692817,83.29074846685538,1325123.5950919061,1368365.7928572346
NIC,14143241.264515216,888821.9924430379,19305.573579443273,44537247.5433169,92581275.10747112
NGA,349237909.2483662,14990843.611124236,240557.89901085108,862556314.7058146,1691036878.0514278
NOR,238814192.3209023,3056320.681032817,31657.063275962573,336696844.2107524,501297306.5992332
NPL,50249529.56242075,1576143.732915061,42836.3481359623,106155625.12851442,190199212.04529056
NAM,23632928.049741056,463665.0855907777,12350.006207506545,40535560.72132661,65989050.01294129
PAK,565771567.3519561,16351171.572189074,476012.52538067853,1171433249.5040092,2066498567.6729758
PAN,62719162.75925163,342506.6482432978,10263.989537011481,76795115.80233389,97244185.56674212
NZL,97485971.59283702,2904202.251659947,54809.015798413384,196501060.5606908,356321257.0573149
NIU,33182.46084884779,107.8761156871149,2.6879458372454184,36906.97082671847,42663.69640091909
NFK,30972.17980839359,8.504721963934784,1.7942704966665086,31696.829719689897,32151.741141203693
PCN,16480.202339662723,0.964158565974014,0.593812928290892,16670.50965690414,16721.502438084648
PER,147185342.65997475,2501976.9156529056,70690.56810056359,237816632.81102014,373841739.3792237
